                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1351,                0.84752,                0.98255,                0.08487,                0.10595,                0.07838,                0.04144,                 1.6158,                  1.467,                 1.1921,             0.00032211,             0.00032211,             0.00032211
                     36,                 1.1369,                0.85986,                0.98688,                0.13216,                0.17427,                 0.1146,                0.06515,                 1.6845,                 1.4987,                 1.2297,              0.0003202,              0.0003202,              0.0003202
                     37,                 1.1345,                 0.8537,                0.98546,                0.13439,                0.10988,                 0.0811,                0.04361,                 1.6577,                 1.5068,                 1.2152,              0.0003183,              0.0003183,              0.0003183
                     38,                 1.1275,                0.84456,                0.98011,                0.12379,                0.12569,                0.08646,                0.04492,                 1.6176,                 1.4956,                 1.1972,             0.00031639,             0.00031639,             0.00031639
                     39,                   1.13,                0.85108,                0.98458,                0.22881,                0.09814,                0.06775,                0.03625,                 1.6328,                 1.5592,                 1.2175,             0.00031449,             0.00031449,             0.00031449
                     40,                 1.1276,                0.83803,                  0.982,                0.11823,                0.12517,                0.08295,                0.04291,                 1.6285,                 1.5787,                 1.2034,             0.00031258,             0.00031258,             0.00031258
                     41,                 1.1307,                0.84827,                 0.9834,                0.16969,                0.10953,                0.08187,                0.04122,                  1.644,                 1.5632,                  1.213,             0.00031068,             0.00031068,             0.00031068
                     42,                 1.1257,                0.84373,                0.98328,                0.28342,                0.08905,                 0.0919,                0.04322,                  1.615,                 1.5068,                 1.1916,             0.00030877,             0.00030877,             0.00030877
                     43,                 1.1227,                0.83789,                0.97613,                0.27154,                0.09504,                0.08465,                0.04373,                 1.6398,                 1.3842,                 1.1997,             0.00030686,             0.00030686,             0.00030686
                     44,                  1.119,                0.83653,                 0.9804,                0.48591,                0.07591,                  0.073,                0.03834,                 1.6646,                 1.4744,                 1.2091,             0.00030496,             0.00030496,             0.00030496
                     45,                 1.1189,                0.83238,                0.97928,                0.13847,                0.10564,                0.07366,                0.03587,                  1.637,                 1.5002,                 1.2038,             0.00030305,             0.00030305,             0.00030305
                     46,                 1.1255,                0.83431,                 0.9775,                 0.2233,                0.08539,                 0.0754,                0.03921,                  1.628,                 1.4074,                 1.1986,             0.00030115,             0.00030115,             0.00030115
                     47,                  1.117,                0.82871,                0.97439,                0.32107,                 0.0901,                0.08802,                0.04102,                 1.6435,                 1.4085,                 1.2083,             0.00029924,             0.00029924,             0.00029924
                     48,                 1.1118,                0.82752,                0.97246,                0.29807,                0.10533,                 0.0779,                0.04104,                 1.6285,                 1.4371,                 1.2014,             0.00029734,             0.00029734,             0.00029734
                     49,                 1.1079,                   0.83,                0.97726,                0.16485,                0.11051,                0.08365,                0.04469,                 1.6276,                  1.424,                 1.1934,             0.00029543,             0.00029543,             0.00029543
                     50,                 1.1252,                0.83388,                0.97786,                0.18911,                0.10988,                 0.0815,                0.04173,                 1.6244,                 1.4215,                 1.1863,             0.00029352,             0.00029352,             0.00029352
                     51,                  1.116,                0.82613,                0.97626,                 0.0944,                0.10117,                 0.0757,                0.03916,                 1.6559,                 1.4215,                 1.2004,             0.00029162,             0.00029162,             0.00029162
                     52,                 1.1116,                0.82621,                0.97889,                0.27879,                0.07777,                  0.077,                0.03927,                 1.6349,                 1.4808,                 1.2074,             0.00028971,             0.00028971,             0.00028971
                     53,                 1.1003,                0.81717,                0.97411,                0.47409,                 0.0798,                0.08989,                0.04682,                 1.6172,                 1.2667,                 1.2114,             0.00028781,             0.00028781,             0.00028781
                     54,                 1.1017,                0.81593,                0.97088,                0.06962,                0.11458,                0.07501,                 0.0382,                  1.641,                 1.4727,                 1.2039,              0.0002859,              0.0002859,              0.0002859
                     55,                 1.0977,                 0.8102,                0.96769,                0.18924,                0.11077,                0.09799,                  0.048,                 1.6359,                 1.4543,                 1.2085,               0.000284,               0.000284,               0.000284
                     56,                 1.1073,                0.81776,                0.97111,                0.18651,                0.10471,                0.08503,                0.04094,                 1.6468,                 1.4668,                 1.2095,             0.00028209,             0.00028209,             0.00028209
                     57,                 1.1023,                0.81758,                0.97007,                0.11387,                0.11936,                0.09078,                0.04161,                 1.6971,                 1.5205,                  1.246,             0.00028018,             0.00028018,             0.00028018
                     58,                 1.0961,                0.82201,                 0.9715,                0.20223,                0.12878,                0.10594,                0.04935,                 1.6247,                 1.3709,                 1.1982,             0.00027828,             0.00027828,             0.00027828
                     59,                 1.1038,                0.81271,                0.97218,                0.20687,                0.10874,                0.09008,                0.04381,                 1.6262,                 1.3439,                  1.196,             0.00027637,             0.00027637,             0.00027637
                     60,                 1.1021,                0.81603,                0.96828,                0.23008,                0.10978,                0.08313,                0.04031,                 1.6497,                 1.4306,                 1.1986,             0.00027447,             0.00027447,             0.00027447
                     61,                 1.0994,                0.80857,                0.96755,                 0.0949,                0.12482,                0.08678,                0.04262,                 1.6496,                 1.4465,                 1.2139,             0.00027256,             0.00027256,             0.00027256
                     62,                 1.0945,                0.80539,                0.96745,                0.41692,                0.07839,                0.07162,                0.03839,                 1.5955,                 1.4457,                 1.1824,             0.00027065,             0.00027065,             0.00027065
                     63,                 1.0898,                0.80498,                0.97105,                0.23122,                0.10029,                0.08285,                0.04255,                 1.6291,                 1.4039,                 1.1946,             0.00026875,             0.00026875,             0.00026875
                     64,                 1.0892,                 0.8027,                0.96953,                  0.266,                0.09925,                0.09618,                0.04726,                 1.6201,                 1.3717,                 1.2036,             0.00026684,             0.00026684,             0.00026684
                     65,                 1.0911,                 0.8021,                0.96621,                0.15326,                0.11575,                0.08727,                0.04419,                 1.6232,                 1.4499,                 1.1886,             0.00026494,             0.00026494,             0.00026494
                     66,                 1.0951,                0.80154,                0.96585,                0.42328,                0.07851,                0.08012,                0.04342,                 1.5951,                 1.3676,                 1.1837,             0.00026303,             0.00026303,             0.00026303
                     67,                 1.0795,                0.79027,                0.96743,                0.41821,                0.08872,                0.08835,                0.04441,                 1.6142,                 1.4597,                 1.1904,             0.00026113,             0.00026113,             0.00026113
                     68,                 1.0866,                0.79425,                0.96171,                0.31089,                0.08834,                0.09027,                0.04319,                 1.6268,                 1.4377,                 1.2083,             0.00025922,             0.00025922,             0.00025922
                     69,                   1.09,                0.79833,                0.96252,                0.09728,                0.13072,                0.08857,                0.04471,                 1.5851,                 1.3586,                 1.1917,             0.00025731,             0.00025731,             0.00025731
                     70,                  1.079,                0.78698,                 0.9636,                0.15558,                0.11939,                0.07987,                0.04288,                 1.5951,                 1.3555,                 1.1824,             0.00025541,             0.00025541,             0.00025541
                     71,                 1.0778,                0.78533,                0.96217,                0.38329,                0.07181,                0.07524,                0.04019,                 1.6349,                 1.3324,                 1.2017,              0.0002535,              0.0002535,              0.0002535
                     72,                 1.0846,                0.79495,                0.96752,                0.16566,                0.10906,                 0.0803,                0.04272,                 1.6131,                 1.4406,                   1.19,              0.0002516,              0.0002516,              0.0002516
                     73,                  1.084,                0.79381,                0.96488,                0.25102,                0.09172,                0.08663,                0.04439,                  1.596,                 1.3709,                 1.1821,             0.00024969,             0.00024969,             0.00024969
                     74,                  1.084,                0.78979,                0.96283,                0.11328,                0.15751,                0.10633,                0.05905,                 1.5948,                 1.4541,                 1.1892,             0.00024779,             0.00024779,             0.00024779
                     75,                 1.1007,                0.79946,                0.96732,                0.13057,                0.11551,                0.09447,                0.04575,                 1.6207,                 1.4122,                 1.1955,             0.00024588,             0.00024588,             0.00024588
                     76,                 1.0791,                 0.7837,                0.95903,                0.43847,                0.09384,                0.08564,                0.04405,                 1.5887,                 1.3501,                  1.181,             0.00024397,             0.00024397,             0.00024397
                     77,                 1.0859,                0.79434,                0.96597,                0.29729,                 0.0813,                0.08021,                0.04221,                   1.58,                 1.4059,                 1.1699,             0.00024207,             0.00024207,             0.00024207
                     78,                 1.0686,                0.77665,                0.95895,                0.22196,                0.08727,                0.07279,                0.03825,                 1.6099,                 1.4917,                 1.1865,             0.00024016,             0.00024016,             0.00024016
                     79,                  1.077,                0.78113,                0.95768,                0.22344,                0.08407,                0.07347,                 0.0389,                 1.6153,                 1.4469,                 1.1836,             0.00023826,             0.00023826,             0.00023826
                     80,                  1.076,                0.77903,                0.95747,                0.34361,                0.08826,                0.08414,                0.04339,                 1.5851,                 1.3475,                 1.1816,             0.00023635,             0.00023635,             0.00023635
                     81,                 1.0699,                0.78184,                0.95703,                0.38651,                0.07523,                0.07495,                0.03883,                 1.5991,                 1.4403,                 1.1797,             0.00023445,             0.00023445,             0.00023445
                     82,                 1.0737,                0.77761,                0.95765,                0.25927,                0.08436,                0.08539,                0.04357,                 1.6076,                 1.4338,                 1.1861,             0.00023254,             0.00023254,             0.00023254
                     83,                 1.0677,                0.77986,                0.95736,                0.30364,                0.09722,                0.07687,                0.04084,                 1.6087,                  1.377,                 1.1889,             0.00023063,             0.00023063,             0.00023063
                     84,                 1.0715,                0.77727,                0.95535,                 0.3987,                0.07921,                0.07779,                0.04027,                  1.598,                  1.438,                 1.1805,             0.00022873,             0.00022873,             0.00022873
                     85,                 1.0667,                0.76934,                0.95539,                0.25527,                0.08064,                0.08279,                0.04085,                 1.6138,                 1.4366,                 1.1949,             0.00022682,             0.00022682,             0.00022682
                     86,                 1.0651,                0.76669,                 0.9546,                0.19861,                 0.1035,                0.09477,                0.04842,                 1.5871,                  1.373,                 1.1761,             0.00022492,             0.00022492,             0.00022492
                     87,                 1.0536,                0.75754,                0.95499,                0.35838,                0.09085,                0.09315,                0.04742,                 1.5922,                 1.3613,                 1.1779,             0.00022301,             0.00022301,             0.00022301
                     88,                 1.0567,                0.76194,                0.95851,                0.17239,                0.10577,                0.07812,                0.03993,                 1.6298,                 1.4663,                 1.2055,             0.00022111,             0.00022111,             0.00022111
                     89,                 1.0612,                 0.7669,                0.95414,                0.22662,                0.09075,                0.07807,                0.04212,                 1.6268,                 1.3794,                 1.2042,              0.0002192,              0.0002192,              0.0002192
                     90,                 1.0657,                0.75902,                0.95575,                 0.3044,                0.09422,                 0.0816,                0.04316,                 1.5996,                 1.4022,                 1.1939,             0.00021729,             0.00021729,             0.00021729
                     91,                 1.0589,                0.77117,                 0.9542,                0.44793,                0.08819,                0.08532,                0.04427,                  1.617,                 1.4047,                 1.2002,             0.00021539,             0.00021539,             0.00021539
                     92,                 1.0418,                 0.7537,                0.95128,                0.10471,                0.11086,                0.08228,                0.04279,                 1.5997,                 1.3803,                  1.178,             0.00021348,             0.00021348,             0.00021348
                     93,                 1.0683,                0.77054,                0.95674,                0.30736,                0.08669,                0.08237,                0.04395,                 1.5749,                 1.3552,                 1.1737,             0.00021158,             0.00021158,             0.00021158
                     94,                 1.0563,                0.76181,                0.95188,                0.18806,                0.10372,                0.08422,                0.04254,                 1.6326,                 1.4059,                 1.2086,             0.00020967,             0.00020967,             0.00020967
                     95,                 1.0631,                0.75773,                0.95469,                 0.2192,                0.09915,                0.08253,                0.04435,                 1.6172,                  1.353,                 1.1893,             0.00020777,             0.00020777,             0.00020777
                     96,                 1.0547,                0.76081,                0.95287,                0.08037,                0.10374,                0.07728,                0.04009,                 1.6386,                 1.5221,                 1.2102,             0.00020586,             0.00020586,             0.00020586
                     97,                 1.0614,                0.76289,                0.95404,                0.44746,                0.09311,                0.09558,                0.04563,                 1.5908,                 1.4255,                 1.1831,             0.00020395,             0.00020395,             0.00020395
                     98,                 1.0574,                0.76254,                0.95383,                0.12471,                0.11954,                0.08882,                0.04569,                 1.6373,                 1.4493,                 1.2002,             0.00020205,             0.00020205,             0.00020205
                     99,                 1.0444,                0.75534,                0.95246,                 0.1379,                0.11207,                0.09752,                0.04654,                 1.5907,                 1.4304,                  1.186,             0.00020014,             0.00020014,             0.00020014
                    100,                 1.0479,                0.75283,                0.94994,                0.19142,                0.10848,                0.09469,                0.04691,                 1.6036,                 1.4436,                 1.1723,             0.00019824,             0.00019824,             0.00019824
                    101,                 1.0488,                0.74666,                0.94448,                0.24691,                0.09238,                0.07852,                0.04092,                 1.6085,                 1.4829,                  1.189,             0.00019633,             0.00019633,             0.00019633
                    102,                 1.0515,                0.75736,                0.95218,                0.10867,                0.10963,                0.08889,                 0.0434,                 1.6155,                 1.4221,                 1.1893,             0.00019442,             0.00019442,             0.00019442
                    103,                 1.0424,                0.74822,                0.94674,                 0.1675,                0.10522,                0.09043,                0.04598,                 1.5985,                 1.4781,                 1.1838,             0.00019252,             0.00019252,             0.00019252
                    104,                 1.0434,                0.74297,                  0.948,                0.13421,                0.09727,                0.08478,                0.04355,                 1.6236,                 1.5237,                 1.1878,             0.00019061,             0.00019061,             0.00019061
                    105,                 1.0441,                0.74324,                0.94783,                0.42579,                0.07946,                 0.0842,                 0.0444,                 1.6012,                 1.4486,                 1.1801,             0.00018871,             0.00018871,             0.00018871
                    106,                 1.0432,                0.74326,                0.94883,                0.15082,                0.11025,                 0.0914,                0.04444,                  1.615,                 1.4135,                  1.193,              0.0001868,              0.0001868,              0.0001868
                    107,                 1.0427,                0.74777,                0.94561,                0.13878,                  0.125,                0.09055,                0.04487,                 1.5979,                 1.4155,                 1.1834,              0.0001849,              0.0001849,              0.0001849
                    108,                 1.0338,                0.73905,                0.94322,                0.19198,                0.10409,                0.08597,                0.04324,                 1.6197,                 1.4676,                 1.1931,             0.00018299,             0.00018299,             0.00018299
                    109,                 1.0371,                0.74176,                0.94648,                0.33403,                0.06998,                0.07927,                0.04097,                 1.6045,                 1.4482,                 1.1907,             0.00018108,             0.00018108,             0.00018108
                    110,                 1.0428,                0.74342,                0.94785,                0.30162,                0.10464,                0.08649,                0.04394,                  1.617,                  1.407,                 1.1865,             0.00017918,             0.00017918,             0.00017918
                    111,                 1.0371,                0.74185,                0.94348,                0.22315,                0.08537,                0.07585,                0.04046,                 1.6327,                 1.4329,                 1.2014,             0.00017727,             0.00017727,             0.00017727
                    112,                 1.0395,                0.73916,                0.94816,                0.15408,                0.10279,                0.07949,                0.04135,                 1.5991,                 1.4107,                 1.1795,             0.00017537,             0.00017537,             0.00017537
                    113,                   1.04,                0.74539,                0.94868,                0.18583,                0.11332,                0.08597,                0.04414,                 1.5891,                 1.3829,                 1.1731,             0.00017346,             0.00017346,             0.00017346
                    114,                 1.0354,                 0.7442,                0.94906,                0.16682,                0.10825,                0.08194,                0.03983,                 1.6161,                 1.4174,                 1.1869,             0.00017156,             0.00017156,             0.00017156
                    115,                 1.0424,                0.73789,                0.94597,                0.23288,                0.11421,                0.08243,                0.04243,                 1.6181,                 1.4051,                 1.1868,             0.00016965,             0.00016965,             0.00016965
                    116,                 1.0383,                0.73911,                0.94578,                0.15636,                0.11427,                0.09885,                0.04561,                 1.6012,                 1.4135,                 1.1796,             0.00016774,             0.00016774,             0.00016774
                    117,                 1.0273,                 0.7274,                0.94449,                 0.1751,                0.09407,                0.08352,                0.04175,                 1.6114,                 1.4394,                 1.1871,             0.00016584,             0.00016584,             0.00016584
                    118,                 1.0338,                0.73868,                0.94291,                0.36626,                0.07929,                0.08246,                0.04118,                 1.6133,                 1.4855,                 1.1872,             0.00016393,             0.00016393,             0.00016393
                    119,                 1.0312,                0.72826,                0.94288,                0.10688,                0.11818,                0.08371,                0.04252,                 1.6012,                 1.4375,                 1.1735,             0.00016203,             0.00016203,             0.00016203
                    120,                 1.0239,                0.72939,                0.94003,                0.29534,                0.08534,                0.08431,                0.04414,                 1.5995,                 1.3587,                 1.1785,             0.00016012,             0.00016012,             0.00016012
                    121,                 1.0324,                0.73371,                0.94069,                0.09145,                0.10125,                0.08242,                0.04161,                 1.6216,                 1.4044,                 1.1897,             0.00015822,             0.00015822,             0.00015822
